date,tour,tournament,winner,loser,sets_w,sets_l,games_w,games_l,tiebreaks,odds_w,odds_l
2026-07-13,WTA,Olomouc ITF,Nagy A.,Chytilova A.,2,0,12,2,0,1.02,13.88
2026-07-13,WTA,Sao Paulo 4 ITF,Estevez J.,Shibata L.,2,0,12,0,0,1.02,12.75
2026-07-13,WTA,Turin ITF,Ricci B.,Parentini Vallega Montebruno G.,2,1,21,17,1,,
2026-07-13,WTA,Vitoria-Gasteiz ITF,Boulard L.,Cervino Ruiz C.,2,1,16,13,0,3.46,1.27
2026-07-14,ATP,Bastad,Baez S.,Dahlin M.,2,1,16,11,0,1.02,17.33
2026-07-14,ATP,Gstaad,Faria J.,Wawrinka S.,2,1,18,15,1,1.44,2.71
2026-07-14,ATP,Umag,Droguet T.,Blockx A.,2,1,15,8,0,2.51,1.51
2026-07-14,ATP,Granby challenger,Rice K.,Rozin S.,2,0,14,12,2,1.68,2.11
2026-07-14,ATP,Lincoln challenger,Yunchaokete B.,Zhu E.,2,1,18,18,2,1.04,9.83
2026-07-14,ATP,Bunschoten challenger,Broska F.,Bar Biryukov P.,2,1,15,11,0,1.2,4.19
2026-07-14,ATP,Cordenons challenger,Mrva M.,Caniato C.,2,1,16,16,1,1.69,2.08
2026-07-14,ATP,Pozoblanco challenger,Added D.,Leong M.,2,0,13,10,1,1.42,2.72
2026-07-14,ATP,Futures 2026,Bynoe E.,Stephenson E.,2,0,12,4,0,1.55,2.31
2026-07-14,ATP,UTR Pro Tennis Series 3,Sabaliauskas A.,Robinson C.,2,0,12,5,0,1.26,3.33
2026-07-14,ATP,UTR Pro Tennis Series 5,Olszakowski S.,Baiant R.,2,0,13,8,1,2.23,1.55
2026-07-14,ATP,UTR Pro Tennis Series 9,Mochizuki K.,Uenoyama T.,2,1,15,9,0,1.86,1.78
2026-07-14,ATP,Futures 2026,Gasanov R.,Vaisman T.,2,0,13,9,0,,
2026-07-14,WTA,Iasi WTA,Kawa K.,Waltert S.,2,0,12,5,0,2.87,1.41
2026-07-14,WTA,Athens WTA,Valentova T.,Costoulas S.,2,0,12,3,0,1.18,4.72
2026-07-14,WTA,Istanbul 10 ITF,Hruncakova V.,Buyukakcay C.,2,0,12,4,0,1.2,4.33
2026-07-14,WTA,Kitzbühel WTA,Vandromme J.,Wolff V.,2,0,13,7,1,1.21,4.13
2026-07-14,WTA,Rome 2 WTA,Vedder E.,Pace F.,2,0,12,8,0,1.16,5.02
2026-07-14,WTA,Granby ITF,Arseneault A.,Dong E.,2,0,12,5,0,1.26,3.04
2026-07-14,WTA,Olomouc ITF,Fita Boluda A.,Niemeier J.,2,0,12,5,0,1.54,2.33
2026-07-14,WTA,Darmstadt ITF,Curmi F.,Labrana F.,2,0,12,4,0,1.04,9.04
2026-07-14,WTA,Nottingham 3 ITF,Romanova L.,Rajeshwaran Revathi M.,2,0,13,10,1,6.46,1.09
2026-07-14,WTA,Dallas 2 ITF,Gailis R.,Nguyen A.,2,0,12,7,0,1.99,1.72
2026-07-14,WTA,Sao Paulo 4 ITF,Reasco Gonzalez M.,Barrera Aguirre I.,2,1,16,16,1,1.05,7.99
2026-07-14,WTA,Turin ITF,Kokkinis T.,Monnot A.,2,0,12,6,0,3.03,1.34
2026-07-14,WTA,UTR Pro Tennis Series 5,Panagiotidou A.,Stula S.,2,1,18,13,1,4.8,1.12
2026-07-14,WTA,UTR Pro Tennis Series 9,Furuya M.,Furutani H.,2,0,13,8,1,1.25,3.43
2026-07-14,WTA,Astana 7 ITF,Nupbay A.,Nitture A.,2,1,16,11,0,,
2026-07-14,WTA,Brisbane 6 ITF,Beck A.,Mildren S.,2,1,16,12,0,1.94,1.77
2026-07-14,WTA,Hillcrest 3 ITF,Jamshidi E.,Bowers A.,2,1,14,10,0,4.5,1.17
2026-07-14,WTA,Krsko ITF,Haavisto E.,Viriant M.,2,1,18,17,1,1.51,2.39
2026-07-14,WTA,Kursumlijska Banja 10 ITF,Natal Gomez L.,Geerlings A.,2,1,17,14,1,7.54,1.09
2026-07-14,WTA,Luan 4 ITF,Cai J.,Snigireva A.,2,0,12,5,0,6.79,1.07
2026-07-14,WTA,Monastir 44 ITF,Fontenel C.,Boussaffir S.,2,0,12,4,0,1.02,12.85
2026-07-14,WTA,UTR Pro Match Series,Deatherage M.,Murphy L.,2,1,17,14,0,2.9,1.32
2026-07-14,WTA,Billie Jean King Cup,Sahnoun N.,Chepkemei Yego S.,2,0,12,2,0,,
2026-07-14,WTA,Brisbane 6 ITF,Adams J.,Compuesto B.,2,0,8,4,0,1.08,6.5
2026-07-14,WTA,Dallas 2 ITF,Oxford E.,Allen K.,2,0,12,4,0,2.18,1.59
2026-07-14,WTA,Darmstadt ITF,Skoog I.,Herrmann S.,2,1,17,15,0,1.81,1.88
2026-07-14,WTA,Krsko ITF,Bergen M.,Jurina S.,2,0,12,5,0,1.58,2.13
2026-07-14,WTA,Kursumlijska Banja 10 ITF,Tepic N.,Petrovic D.,2,0,13,9,0,1.79,1.92
2026-07-14,WTA,Monastir 44 ITF,Smejkalova A.,Abouelsaad H.,2,1,20,19,1,1.65,2.1
2026-07-14,WTA,Olomouc ITF,Petruzelova L.,Gadient N.,2,1,17,10,0,1.18,4.11
2026-07-14,WTA,Sao Paulo 4 ITF,Xavier Laydner C.,Ccuno R.,2,1,20,17,1,2.2,1.58
2026-07-14,WTA,Turin ITF,Lene E.,Milic E.,2,0,12,5,0,1.31,3.14
2026-07-15,ATP,Bastad,Darderi L.,Altmaier D.,2,0,12,8,0,1.52,2.46
2026-07-15,ATP,Gstaad,Vacherot V.,Hanfmann Y.,2,1,16,13,0,2.39,1.56
2026-07-15,ATP,Umag,Molcan A.,Prizmic D.,2,1,14,12,1,3.36,1.31
2026-07-15,ATP,Granby challenger,Holmgren A.,Mayo A.,2,0,13,8,1,1.51,2.45
2026-07-15,ATP,Lincoln challenger,Noguchi R.,Suresh D.,2,0,12,4,0,2.12,1.66
2026-07-15,ATP,Bunschoten challenger,Houkes M.,Schoenhaus M.,2,0,12,5,0,2.26,1.58
2026-07-15,ATP,Cordenons challenger,Seyboth Wild T.,Makk P.,2,1,15,14,0,1.24,3.79
2026-07-15,ATP,Pozoblanco challenger,Crawford O.,Ivanov I.,2,1,17,11,0,1.44,2.65
2026-07-15,ATP,Futures 2026,Fita Juan S.,Lynch A.,2,0,12,4,0,1.59,2.2
2026-07-15,ATP,UTR Pro Tennis Series 3,Burnett E.,Velasquez J.,2,0,12,6,0,1.95,1.69
2026-07-15,ATP,UTR Pro Tennis Series 5,Mahjoob C.,Warik C.,2,1,14,13,0,1.18,4.0
2026-07-15,ATP,UTR Pro Tennis Series 9,Kim M.,Rodi C.,2,1,15,12,0,1.82,1.82
2026-07-15,ATP,Davis Cup,Alhogbani A.,Vu H.,2,1,14,9,0,,
2026-07-15,ATP,Futures 2026,Picard M.,Aerne L.,2,0,12,7,0,1.1,6.28
2026-07-15,WTA,Iasi WTA,Marcinko P.,Avanesyan E.,2,0,14,12,2,1.55,2.4
2026-07-15,WTA,Athens WTA,Bejlek S.,Tagger L.,2,0,12,4,0,1.74,2.06
2026-07-15,WTA,Istanbul 10 ITF,Tararudee L.,Knutson G.,2,1,16,11,0,1.23,3.97
2026-07-15,WTA,Kitzbühel WTA,Andreeva E.,Ristic M.,2,1,14,12,0,1.66,2.15
2026-07-15,WTA,Rome 2 WTA,Jones F.,Urgesi F.,2,1,14,11,0,1.3,3.36
2026-07-15,WTA,Granby ITF,Ma L.,Cabrera L.,2,1,16,14,1,1.4,2.72
2026-07-15,WTA,Olomouc ITF,Siskova A.,Nagy A.,2,0,13,8,1,1.26,3.49
2026-07-15,WTA,Vitoria-Gasteiz ITF,Lazarenko K.,Kuparev A.,2,0,13,9,0,1.12,5.66
2026-07-15,WTA,Darmstadt ITF,Schunk N.,Stusek J.,2,0,12,4,0,1.45,2.56
2026-07-15,WTA,Nottingham 3 ITF,Leonard M.,Brooks A.,2,0,12,6,0,1.07,7.07
2026-07-15,WTA,Dallas 2 ITF,Shcherbinina A.,Matushkina K.,2,0,12,2,0,1.36,2.91
2026-07-15,WTA,Sao Paulo 4 ITF,Moyano L.,Fullana L.,2,0,13,9,0,2.23,1.58
2026-07-15,WTA,Turin ITF,Martinez Cirez C.,Barbulescu B.,1,0,5,0,0,1.22,3.88
2026-07-15,WTA,UTR Pro Tennis Series 5,Panagiotidou A.,Gullacksen N.,2,0,12,3,0,2.07,1.63
2026-07-15,WTA,UTR Pro Tennis Series 9,Kubo K.,Kawagishi N.,2,0,12,7,0,1.18,4.07
2026-07-15,WTA,Astana 7 ITF,Sagandikova A.,Starkova P.,2,0,10,3,0,1.36,3.0
2026-07-15,WTA,Brisbane 6 ITF,Fairclough L.,Adams J.,2,1,16,13,0,1.18,4.42
2026-07-15,WTA,Hillcrest 3 ITF,Kumari J.,Chan W.,2,0,12,5,0,1.94,1.74
2026-07-15,WTA,Krsko ITF,Udvardy L.,Moccia C.,2,0,12,4,0,1.06,7.77
2026-07-15,WTA,Kursumlijska Banja 10 ITF,De Santis G.,Ngijol Carre M.,2,1,14,12,0,2.95,1.35
2026-07-15,WTA,Luan 4 ITF,Sun Y.,Choi O.,2,0,13,7,0,1.58,2.22
2026-07-15,WTA,Monastir 44 ITF,Schuman A.,Kashyap T.,2,0,12,3,0,1.15,4.87
2026-07-15,WTA,UTR Pro Match Series,Weir L.,Oak S.,2,1,15,11,0,1.36,2.77
2026-07-15,WTA,Billie Jean King Cup,Quadre B.,Tsantaniony I.,2,0,12,6,0,,
2026-07-16,ATP,Bastad,Baez S.,De Jong J.,2,0,12,6,0,1.9,1.86
2026-07-16,ATP,Gstaad,Tsitsipas S.,Kym J.,2,1,19,17,2,1.3,3.41
2026-07-16,ATP,Umag,Molcan A.,Davidovich Fokina A.,2,1,15,9,0,2.21,1.65
2026-07-16,ATP,Granby challenger,Draxl L.,Milavsky D.,2,0,13,6,0,1.4,2.8
2026-07-16,ATP,Lincoln challenger,Smith C.,Matsuoka H.,2,0,13,8,0,1.18,4.44
2026-07-16,ATP,Bunschoten challenger,Boogaard T.,Campana Lee G.,2,1,14,8,0,1.63,2.17
2026-07-16,ATP,Cordenons challenger,Fuele M.,Seyboth Wild T.,2,1,17,14,0,5.51,1.13
2026-07-16,ATP,Pozoblanco challenger,Almazan Valiente I.,Palan D.,2,0,13,8,0,1.34,3.07
2026-07-16,ATP,Futures 2026,Bynoe E.,Long D.,2,0,12,1,0,1.66,2.1
2026-07-16,ATP,UTR Pro Tennis Series 3,Johnson C.,Patel S.,2,1,16,11,0,1.75,1.89
2026-07-16,ATP,UTR Pro Tennis Series 5,Campagnola R.,Janev K.,2,0,12,6,0,1.72,1.9
2026-07-16,ATP,UTR Pro Tennis Series 9,Rodi C.,Uenoyama T.,2,0,12,4,0,2.3,1.5
2026-07-16,ATP,Davis Cup,Alhogbani A.,Koay H.,2,0,13,6,0,,
2026-07-16,WTA,Iasi WTA,Udvardy P.,Kawa K.,2,1,14,13,0,1.73,2.08
2026-07-16,WTA,Athens WTA,Tauson C.,Tona M.,2,0,12,4,0,1.03,12.25
2026-07-16,WTA,Istanbul 10 ITF,Zakharova A.,Shubladze A.,2,0,14,12,2,1.69,2.11
2026-07-16,WTA,Kitzbühel WTA,Bassols Ribera M.,Rus A.,2,1,12,8,0,1.41,2.76
2026-07-16,WTA,Rome 2 WTA,Brancaccio N.,Vedder E.,2,0,12,3,0,2.22,1.63
2026-07-16,WTA,Granby ITF,Saito S.,Nishimura K.,2,0,12,6,0,1.64,2.14
2026-07-16,WTA,Olomouc ITF,Siskova A.,Balus I.,2,0,12,5,0,1.18,4.35
2026-07-16,WTA,Vitoria-Gasteiz ITF,Kubka M.,Noel C.,2,0,12,4,0,1.07,7.37
2026-07-16,WTA,Darmstadt ITF,Schunk N.,Lollia M.,2,0,12,4,0,1.16,4.64
2026-07-16,WTA,Nottingham 3 ITF,Dodin O.,Appleton E.,2,1,16,17,1,1.4,2.76
2026-07-16,WTA,Dallas 2 ITF,Khayrutdinova E.,Ivanova D.,2,1,17,12,1,1.19,4.21
2026-07-16,WTA,Sao Paulo 4 ITF,Reasco Gonzalez M.,Mattioli F.,2,1,19,16,2,1.36,2.84
2026-07-16,WTA,Turin ITF,Lew Yan Foon A.,Lene E.,2,1,14,12,0,2.03,1.72
2026-07-16,WTA,UTR Pro Tennis Series 5,Shmakova M.,Borodulina V.,2,0,12,6,0,2.3,1.5
2026-07-16,WTA,UTR Pro Tennis Series 9,Teso K.,Maeda R.,2,0,12,5,0,,
2026-07-16,WTA,Astana 7 ITF,Milovanova V.,Nupbay A.,2,1,14,10,0,1.03,9.82
2026-07-16,WTA,Brisbane 6 ITF,Aiava D.,Beck A.,2,0,12,2,0,1.06,7.6
2026-07-16,WTA,Hillcrest 3 ITF,Kruger I.,Kumari J.,2,0,12,1,0,1.01,13.44
2026-07-16,WTA,Krsko ITF,Roura Llaverias R.,Senica A.,2,0,12,0,0,1.68,2.07
2026-07-16,WTA,Kursumlijska Banja 10 ITF,Radovanovic N.,Stosovic M.,2,0,12,6,0,1.02,14.04
2026-07-16,WTA,Luan 4 ITF,Sato N.,Jang G.,2,0,12,4,0,1.03,10.58
2026-07-16,WTA,Monastir 44 ITF,Perapekhina Y.,Mincheva V.,2,0,12,3,0,1.21,3.97
2026-07-16,WTA,UTR Pro Match Series,Deatherage M.,Spencer K.,2,1,16,11,0,1.55,2.18
2026-07-16,WTA,Billie Jean King Cup,Tomegah S.,Nashiku T.,2,1,14,13,0,,
